Date,Canada,Japan,France,Germany,Italy,Switzerland,UK,US,World
20110501,-0.037676516,-0.022551798,-0.057421678,-0.083285222,-0.091858521,0.010323253,-0.031671959,-0.019010229,-0.030494102
20110601,-0.036787739,0.008172399,-0.003941189,0.013347228,-0.041158243,-0.04981463,-0.038104608,-0.024557757,-0.023292838
20110701,-0.02883149,0.029042202,-0.087511621,-0.045069657,-0.098608987,-0.008739112,-0.006072154,-0.026583078,-0.024876457
20110801,-0.042805146,-0.087539558,-0.113595435,-0.191791801,-0.153010336,-0.072507927,-0.085220344,-0.063727345,-0.078608024
20110901,-0.149258261,-0.030993692,-0.153852692,-0.124195436,-0.122196638,-0.12022563,-0.095709276,-0.079393039,-0.094471662
20111001,0.096618131,-0.008546736,0.122640705,0.155041555,0.128681012,0.078195787,0.113383998,0.102327046,0.096558273
20111101,-0.034443661,-0.050822906,-0.067855538,-0.047994158,-0.081057215,-0.061985629,-0.039805432,-0.011548943,-0.032856245
20111201,-0.03083028,0.001163299,-0.040304665,-0.071495174,-0.05140867,0.011147901,-0.005679729,0.001663865,-0.007695925
20120101,0.051536525,0.039174643,0.049070138,0.096184886,0.05763241,0.019424005,0.028418131,0.039889371,0.043297519
20120201,0.028481797,0.044047172,0.06473097,0.078001428,0.044210027,0.040779378,0.040106075,0.035480931,0.040600274
20120301,-0.038614226,-0.002282792,-0.014051333,0.002728889,-0.031124132,0.009992079,-0.022238471,0.024408428,0.004233923
20120401,-0.002702983,-0.037986084,-0.068795508,-0.047684995,-0.091359934,-0.032155984,0.004086824,-0.013222541,-0.019734641
20120501,-0.115002543,-0.095582627,-0.131323316,-0.154749813,-0.182114573,-0.113391401,-0.125564129,-0.069936222,-0.095912526
20120601,0.019860559,0.044319295,0.079489911,0.040705769,0.129802084,0.056992819,0.061433296,0.031855424,0.043311125
20120701,0.01410355,-0.029917469,-0.006404886,0.019140375,-0.060449151,0.015936602,0.004909168,0.006297338,0.006019752
20120801,0.034793416,-0.01364396,0.052272187,0.046011606,0.103407804,0.016672529,0.020285814,0.014765618,0.016900776
20120901,0.028419692,0.007415212,0.003238681,0.050392048,0.012522798,0.02493911,0.015621207,0.017847103,0.019246872
20121001,-0.011327789,-0.024638837,0.020930139,0.010427358,0.026745829,0.020265749,-0.001500523,-0.025333661,-0.013611109
20121101,-0.012342473,0.017686526,0.034862849,0.02009535,0.013333764,0.033390811,0.003752184,-0.002428577,0.004734356
20121201,0.006796295,0.0457694,0.028442556,0.034234666,0.02996584,0.006853661,0.013809753,0.001180289,0.011489261
20130101,0.010470118,0.030682048,0.049507997,0.045057119,0.083183651,0.080309041,0.031802139,0.045595475,0.044030631
20130201,-0.021681309,0.020339171,-0.039840147,-0.045190922,-0.131912284,-0.001501348,-0.035170765,0.004433963,-0.006203491
20130301,-0.00331581,0.034716413,-0.021305798,-0.016609676,-0.058282839,0.005533834,0.000740256,0.030028092,0.014876329
20130401,-0.022397383,0.081385416,0.050109709,0.023210566,0.109550779,0.024252614,0.021621884,0.012628909,0.023016079
20130501,-0.012950711,-0.063142718,-1.55544E-05,0.013462927,-0.006807313,-0.032708456,-0.009412823,0.012531154,-0.008849325
20130601,-0.06433822,0.010586636,-0.05714697,-0.048128312,-0.121784995,-0.025211167,-0.061421748,-0.021005227,-0.032077953
20130701,0.049468547,-6.28443E-06,0.084459997,0.059015958,0.097167281,0.032506414,0.059103738,0.045236262,0.045874789
20130801,-0.017094087,-0.027788118,-0.028330225,-0.032021212,0.002655254,-0.019364752,-0.017504317,-0.035846307,-0.029326943
20130901,0.030640128,0.070873218,0.075325896,0.0806684,0.06322311,0.061808584,0.048451498,0.025489613,0.042164711
20131001,0.025029819,-0.006200017,0.034522594,0.051052205,0.112596903,0.019590117,0.027112418,0.037081096,0.032342342
20131101,-0.016535753,0.008376339,-0.005160179,0.036527389,-0.024913235,3.3073E-06,0.000327185,0.020157709,0.009948991
20131201,0.008150281,0.001203497,0.008769034,0.021852428,0.000565691,0.004501222,0.020151627,0.019072993,0.01404699
